Linked Issue Type,Issue Sub-Type,Issue key,Issue Tasks,Assignee,Reporter,Created,Resolved,Priority,Status,Downtime started,Category,Downtime,Downtime Ended,Days,Resolved Hours,Downtime Hours,Cost Impact,Downtime Percentage,City,Region,Country,Linked Remedy
Incident,Incident,TEI-9,TEI Incident,Chamarthi Sreekari,Divya Kurian,13-10-2022 17:15,21-10-2022 17:15,Medium,Resolved,13-10-2022 17:15,Configuration,Yes,21-10-2022 17:15,8,192,8,₹ 960,4,Kochi,Asia Pacific,India,INC000023505749
Incident,Incident,TEI-10,TEI Incident,SRIJEET PAUL,Divya Kurian,13-10-2022 17:15,21-10-2022 17:15,Medium,Resolved,13-10-2022 17:15,Hardware,Yes,21-10-2022 17:15,8,192,8,₹ 960,4,Jaipur,Asia Pacific,India,INC000023506021
Incident,Incident,TEI-11,TEI Incident,KAMAL C,Divya Kurian,13-10-2022 17:15,21-10-2022 17:15,Medium,Resolved,13-10-2022 17:15,Configuration,Yes,21-10-2022 17:15,8,192,8,₹ 960,4,Delhi,Asia Pacific,India,INC000023506022
Incident,Incident,TEI-12,TEI Incident,SIVA RAJAN T,Divya Kurian,13-10-2022 17:15,21-10-2022 17:15,Medium,Resolved,13-10-2022 17:15,Application,Yes,21-10-2022 17:15,8,192,2,₹ 240,1,Cambridge,Europe & Eurasia,United Kingdom,INC000023506685
Incident,Incident,TEI-13,TEI Incident,Raja B ,Divya Kurian,13-10-2022 17:15,21-10-2022 17:15,Medium,Resolved,13-10-2022 17:15,Network,Yes,21-10-2022 17:15,8,192,3,₹ 360,2,Chennai,Asia Pacific,India,INC000023506792
Incident,Incident,TEI-14,TEI Incident,Arun P ,Divya Kurian,13-10-2022 17:15,21-10-2022 17:15,Medium,Resolved,13-10-2022 17:15,Database,Yes,21-10-2022 17:15,8,192,7,₹ 840,4,Chennai,Asia Pacific,India,INC000023506820
Incident,Incident,TEI-18,TEI Incident,BIPIIN BIHARI PATHAK,Divya Kurian,13-10-2022 17:15,21-10-2022 17:15,Medium,Resolved,13-10-2022 17:15,Hardware,No,20-10-2022 17:15,8,192,4,₹ 480,2,Chennai,Asia Pacific,India,INC000023508056
Incident,Incident,TEI-20,TEI Incident,Mahesh Shivlal Tarte,Divya Kurian,13-10-2022 17:15,21-10-2022 17:15,Medium,Resolved,13-10-2022 17:15,Application,No,20-10-2022 17:15,8,192,6,₹ 720,3,Chennai,Asia Pacific,India,INC000023509431
Incident,Incident,TEI-21,TEI Incident,Verma Archna Subhash Rukmani,Divya Kurian,13-10-2022 17:15,21-10-2022 17:15,Low,Resolved,13-10-2022 17:15,Network,No,20-10-2022 17:15,8,192,13,"₹ 1,560",7,Chennai,Asia Pacific,India,INC000023509848
Incident,Incident,TEI-22,TEI Incident,Shinde Suraj Anilrao,Divya Kurian,13-10-2022 17:15,20-10-2022 17:15,Low,Resolved,13-10-2022 17:15,Database,Yes,20-10-2022 17:15,7,168,12,"₹ 1,440",8,Chennai,Asia Pacific,India,INC000023510063
Incident,Incident,TEI-15,TEI Incident,Paulwin Raja Singh P,Divya Kurian,13-10-2022 17:15,20-10-2022 17:15,Medium,Resolved,13-10-2022 17:15,Deployement,Yes,21-10-2022 17:15,7,168,11,"₹ 1,320",7,Chennai,Asia Pacific,India,INC000023506892
Incident,Incident,TEI-16,TEI Incident,SUBHENDU DATTA BHOWMIK,Divya Kurian,13-10-2022 17:15,20-10-2022 17:15,Medium,Resolved,13-10-2022 17:15,Software,Yes,21-10-2022 17:15,7,168,10,"₹ 1,200",6,Cambridge,Europe & Eurasia,United Kingdom,INC000023506992
Incident,Incident,TEI-17,TEI Incident,RAHUL JAIN,Divya Kurian,13-10-2022 17:15,20-10-2022 17:15,Medium,Resolved,13-10-2022 17:15,Configuration,Yes,21-10-2022 17:15,7,168,1,₹ 120,1,Chennai,Asia Pacific,India,INC000023507114
Incident,Incident,TEI-19,TEI Incident,Shobhit Rajpal,Divya Kurian,13-10-2022 17:15,20-10-2022 17:15,Medium,Resolved,13-10-2022 17:15,Configuration,No,20-10-2022 17:15,7,168,4,₹ 480,2,London,Europe & Eurasia,United Kingdom,INC000023509273
Incident,Incident,TEI-23,TEI Incident,MAHESHWARAN S,Divya Kurian,13-10-2022 17:15,20-10-2022 17:15,High,Resolved,13-10-2022 17:15,Deployement,No,20-10-2022 17:15,7,168,4,₹ 480,2,London,Europe & Eurasia,United Kingdom,INC000023510066
Incident,Task,TEI-24,TEI Project,TITARMARE AJAY ARVIND,Divya Kurian,13-10-2022 17:15,20-10-2022 17:15,Low,Resolved,13-10-2022 17:15,Software,No,20-10-2022 17:15,7,168,40,"₹ 4,800",31,Chennai,Asia Pacific,India,INC000023510244
Incident,Employee,JML-8,Joiner,Divya Kurian,DIVYA SUSAN KURIAN,13-10-2022 17:15,21-10-2022 17:15,Low,Done,14-10-2022 11:10,Database,No,16-10-2022 11:10,8,192,0,₹ 0,0,Kochi,Asia Pacific,India,INC000023570634
Incident,Incident,TEI-32,TEI Incident,PARAG GUPTA,Divya Kurian,13-10-2022 17:15,21-10-2022 17:15,High,Resolved,14-10-2022 17:15,Software,Yes,15-10-2022 17:15,8,192,48,"₹ 5,760",33,Delhi,Asia Pacific,India,INC000023512216
Incident,Incident,TEI-33,TEI Incident,HUNDALEKAR PRIYANKA MOHAN,Divya Kurian,13-10-2022 17:15,21-10-2022 17:15,High,Resolved,14-10-2022 17:15,Configuration,Yes,15-10-2022 17:15,8,192,48,"₹ 5,760",33,Delhi,Asia Pacific,India,INC000023512269
Incident,Incident,TEI-34,TEI Incident,HAJGUDE RAJKUMAR SHANKAR,Divya Kurian,13-10-2022 17:15,20-10-2022 17:15,High,Resolved,14-10-2022 17:15,Hardware,Yes,15-10-2022 17:15,7,168,40,"₹ 4,800",31,Delhi,Asia Pacific,India,INC000023512281
Incident,Incident,TEI-35,TEI Incident,SATTI VENKATA SAI SATISH REDDY,Divya Kurian,13-10-2022 17:15,20-10-2022 17:15,High,Resolved,14-10-2022 17:15,Application,No,16-10-2022 17:15,7,168,0,₹ 0,0,Cambridge,Europe & Eurasia,United Kingdom,INC000023512283
Incident,Incident,TEI-36,TEI Incident,KUMMAMURU SIVA RAMA KRISHNA,Divya Kurian,13-10-2022 17:15,20-10-2022 17:15,High,Resolved,14-10-2022 17:15,Application,No,16-10-2022 17:15,7,168,0,₹ 0,0,Jaipur,Asia Pacific,India,INC000023512284
Incident,Incident,TEI-37,TEI Incident,SRI SINDHU KARRI,Divya Kurian,14-10-2022 11:10,16-10-2022 11:10,High,Resolved,14-10-2022 17:15,Configuration,Yes,14-10-2022 17:15,2,48,3,₹ 360,7,Jaipur,Asia Pacific,India,INC000023512285
Incident,Incident,TEI-38,TEI Incident,Venkatraman K. N.ÿ,Divya Kurian,14-10-2022 17:15,21-10-2022 17:15,High,Resolved,14-10-2022 17:15,Hardware,No,14-10-2022 17:15,7,168,40,"₹ 4,800",31,Jaipur,Asia Pacific,India,INC000023512290
Incident,Incident,TEI-39,TEI Incident,Saivi Chatterjeeÿ,Divya Kurian,14-10-2022 17:15,21-10-2022 17:15,High,Resolved,14-10-2022 17:15,Configuration,No,14-10-2022 17:15,7,168,3,₹ 360,2,London,Europe & Eurasia,United Kingdom,INC000023512355
Incident,Incident,TEI-40,TEI Incident,Nithin Mohanÿ,Divya Kurian,14-10-2022 17:15,15-10-2022 17:15,Low,Resolved,14-10-2022 17:15,Application,No,14-10-2022 17:15,1,24,3,₹ 360,14,Jaipur,Asia Pacific,India,INC000023512356
Incident,Incident,TEI-41,TEI Incident,SANTHINIDEVI S,Divya Kurian,14-10-2022 17:15,15-10-2022 17:15,Low,Resolved,14-10-2022 17:15,Network,No,28-10-2022 17:15,1,24,3,₹ 360,14,Jaipur,Asia Pacific,India,INC000023512357
Incident,Incident,TEI-42,TEI Incident,SHREYA NAIR,Divya Kurian,14-10-2022 17:15,15-10-2022 17:15,Low,Resolved,14-10-2022 17:15,Database,No,16-10-2022 17:15,1,24,3,₹ 360,14,London,Europe & Eurasia,United Kingdom,INC000023512655
Incident,Incident,TEI-43,TEI Incident,BINDHIYA B,Divya Kurian,14-10-2022 17:15,15-10-2022 17:15,Low,Resolved,14-10-2022 17:15,Deployement,No,16-10-2022 17:15,1,24,3,₹ 360,14,Kochi,Asia Pacific,India,INC000023512824
Incident,Incident,TEI-25,TEI Incident,REVANTH S,Divya Kurian,14-10-2022 17:15,15-10-2022 17:15,Low,Resolved,14-10-2022 17:15,Configuration,No,21-10-2022 17:15,1,24,3,₹ 360,14,Delhi,Asia Pacific,India,INC000023510568
Incident,Incident,TEI-26,TEI Incident,VINITHA N,Divya Kurian,14-10-2022 17:15,15-10-2022 17:15,High,Resolved,14-10-2022 17:15,Hardware,No,21-10-2022 17:15,1,24,7,₹ 840,41,Kochi,Asia Pacific,India,INC000023511142
Incident,Incident,TEI-27,TEI Incident,KARUNAMBIGAI D,Divya Kurian,14-10-2022 17:15,15-10-2022 17:15,High,Resolved,14-10-2022 17:15,Configuration,No,15-10-2022 17:15,1,24,5,₹ 600,26,London,Europe & Eurasia,United Kingdom,INC000023511313
Incident,Incident,TEI-28,TEI Incident,SURYA D,Divya Kurian,14-10-2022 17:15,15-10-2022 17:15,High,Resolved,14-10-2022 17:15,Application,No,15-10-2022 17:15,1,24,1,₹ 120,4,Pune,Asia Pacific,India,INC000023511535
Incident,Incident,TEI-29,TEI Incident,Satarupa Bhattacharya,Divya Kurian,14-10-2022 17:15,16-10-2022 17:15,High,Resolved,14-10-2022 17:15,Network,No,15-10-2022 17:15,2,48,2,₹ 240,4,Delhi,Asia Pacific,India,INC000023511861
Incident,Incident,TEI-30,TEI Incident,Bablu Kumar ,Divya Kurian,14-10-2022 17:15,16-10-2022 17:15,High,Resolved,14-10-2022 17:15,Database,No,15-10-2022 17:15,2,48,4,₹ 480,9,Delhi,Asia Pacific,India,INC000023512018
Incident,Incident,TEI-31,TEI Incident,Aditya Prabhakar ,Divya Kurian,14-10-2022 17:15,14-10-2022 17:15,High,Resolved,14-10-2022 17:15,Deployement,Yes,15-10-2022 17:15,0,0,7,₹ 840,-100,Cambridge,Europe & Eurasia,United Kingdom,INC000023512024
Incident,Employee,JML-9,Joiner,Divya Kurian,DIVYA SUSAN KURIAN,14-10-2022 17:15,14-10-2022 17:15,Low,Done,15-10-2022 11:10,Deployement,No,17-10-2022 11:10,0,0,5,₹ 600,-100,Cambridge,Europe & Eurasia,United Kingdom,INC000023570664
Incident,Employee,JML-10,Joiner,Divya Kurian,DIVYA SUSAN KURIAN,14-10-2022 17:15,14-10-2022 17:15,Low,Done,16-10-2022 11:10,Software,Yes,18-10-2022 11:10,0,0,6,₹ 720,-100,Kochi,Asia Pacific,India,INC000023570720
Incident,Incident,TEI-45,TEI Incident,Dilip Raha,Divya Kurian,14-10-2022 17:15,14-10-2022 17:15,Low,Resolved,17-10-2022 17:15,Application,Yes,19-10-2022 17:15,0,0,5,₹ 600,-100,Delhi,Asia Pacific,India,INC000023513452
Incident,Incident,TEI-46,TEI Incident,Suman Roychowdhury,Divya Kurian,14-10-2022 17:15,28-10-2022 17:15,Low,Resolved,17-10-2022 17:15,Application,Yes,19-10-2022 17:15,14,336,7,₹ 840,2,London,Europe & Eurasia,United Kingdom,INC000023513541
Incident,Incident,TEI-47,TEI Incident,Aravind S,Divya Kurian,14-10-2022 17:15,16-10-2022 17:15,Low,Resolved,17-10-2022 17:15,Application,Yes,19-10-2022 17:15,2,48,12,"₹ 1,440",33,Chennai,Asia Pacific,India,INC000023513709
Incident,Incident,TEI-48,TEI Incident,Karthik B,Divya Kurian,14-10-2022 17:15,16-10-2022 17:15,Medium,Resolved,17-10-2022 17:15,Application,Yes,19-10-2022 17:15,2,48,23,"₹ 2,760",92,Chennai,Asia Pacific,India,INC000023513710
Incident,Incident,TEI-49,TEI Incident,Swathi B,Divya Kurian,14-10-2022 17:15,21-10-2022 17:15,Medium,Resolved,17-10-2022 17:15,Application,Yes,19-10-2022 17:15,7,168,23,"₹ 2,760",16,Chennai,Asia Pacific,India,INC000023513820
Incident,Incident,TEI-50,TEI Incident,Sanagala Sasank Babu,Divya Kurian,14-10-2022 17:15,21-10-2022 17:15,Medium,Resolved,17-10-2022 17:15,Configuration,Yes,27-10-2022 17:15,7,168,23,"₹ 2,760",16,London,Europe & Eurasia,United Kingdom,INC000023513866
Incident,Incident,TEI-51,TEI Incident,Amritha V,Divya Kurian,14-10-2022 17:15,15-10-2022 17:15,Medium,Resolved,17-10-2022 17:15,Hardware,Yes,27-10-2022 17:15,1,24,23,"₹ 2,760",2300,Chennai,Asia Pacific,India,INC000023513991
Incident,Incident,TEI-52,TEI Incident,Som Shankar US,Divya Kurian,14-10-2022 17:15,15-10-2022 17:15,Medium,Resolved,17-10-2022 17:15,Configuration,Yes,27-10-2022 17:15,1,24,23,"₹ 2,760",2300,Chennai,Asia Pacific,India,INC000023514762
Incident,Incident,TEI-53,TEI Incident,PRIYANKA D,Divya Kurian,14-10-2022 17:15,15-10-2022 17:15,Medium,Resolved,17-10-2022 17:15,Application,Yes,27-10-2022 17:15,1,24,23,"₹ 2,760",2300,Chennai,Asia Pacific,India,INC000023515696
Incident,Incident,TEI-54,TEI Incident,RAJESH R,Divya Kurian,14-10-2022 17:15,15-10-2022 17:15,Medium,Resolved,17-10-2022 17:15,Network,Yes,19-10-2022 17:15,1,24,23,"₹ 2,760",2300,London,Europe & Eurasia,United Kingdom,INC000023516032
Incident,Incident,TEI-55,TEI Incident,SATARKAR AJIT SURESH,Divya Kurian,14-10-2022 17:15,15-10-2022 17:15,Medium,Resolved,18-10-2022 17:15,Database,Yes,20-10-2022 17:15,1,24,23,"₹ 2,760",2300,Chennai,Asia Pacific,India,INC000023516487
Incident,Incident,TEI-56,TEI Incident,Ankita Saha,Divya Kurian,15-10-2022 11:10,17-10-2022 11:10,Medium,Resolved,18-10-2022 17:15,Deployement,Yes,20-10-2022 17:15,2,48,3,₹ 360,7,Kochi,Asia Pacific,India,INC000023516959
Incident,Incident,TEI-57,TEI Incident,Amit Sikdar,Divya Kurian,16-10-2022 11:10,18-10-2022 11:10,Medium,Resolved,18-10-2022 17:15,Software,Yes,20-10-2022 17:15,2,48,3,₹ 360,7,Delhi,Asia Pacific,India,INC000023517021
Incident,Incident,TEI-58,TEI Incident,Santhi Maadhaven,Divya Kurian,17-10-2022 17:15,19-10-2022 17:15,Medium,Resolved,18-10-2022 17:15,Configuration,Yes,20-10-2022 17:15,2,48,7,₹ 840,17,Cambridge,Europe & Eurasia,United Kingdom,INC000023517058
Incident,Incident,TEI-59,TEI Incident,Hiren Modi,Divya Kurian,17-10-2022 17:15,19-10-2022 17:15,Medium,Resolved,18-10-2022 17:15,Configuration,Yes,20-10-2022 17:15,2,48,2,₹ 240,4,Delhi,Asia Pacific,India,INC000023517080
Incident,Incident,TEI-60,TEI Incident,Sabarish V,Divya Kurian,17-10-2022 17:15,19-10-2022 17:15,Medium,Resolved,18-10-2022 17:15,Configuration,Yes,20-10-2022 17:15,2,48,4,₹ 480,9,Pune,Asia Pacific,India,INC000023517081
Incident,Task,TEI-61,TEI Project,Divya Susan Kurian,Divya Kurian,17-10-2022 17:15,19-10-2022 17:15,Low,Resolved,18-10-2022 17:15,Configuration,Yes,20-10-2022 17:15,2,48,7,₹ 840,17,Pune,Asia Pacific,India,INC000023517228
Incident,Task,TEI-62,TEI Project,Divya Susan Kurian,Divya Kurian,17-10-2022 17:15,19-10-2022 17:15,Medium,Resolved,18-10-2022 17:15,Configuration,Yes,20-10-2022 17:15,2,48,5,₹ 600,12,Cambridge,Europe & Eurasia,United Kingdom,INC000023517266
Incident,Incident,TEI-63,TEI Incident,Kallem Venkata Sai Deepti Sindhura,Divya Kurian,17-10-2022 17:15,27-10-2022 17:15,High,Resolved,18-10-2022 17:15,Configuration,Yes,21-10-2022 17:15,10,240,7,₹ 840,3,Pune,Asia Pacific,India,INC000023517273
Incident,Incident,TEI-64,TEI Incident,Lincy Mathew,Divya Kurian,17-10-2022 17:15,27-10-2022 17:15,Medium,Resolved,18-10-2022 17:15,Hardware,Yes,21-10-2022 17:15,10,240,5,₹ 600,2,Delhi,Asia Pacific,India,INC000023517332
Incident,Incident,TEI-65,TEI Incident,Srinivas Gandhi M H S,Divya Kurian,17-10-2022 17:15,27-10-2022 17:15,Low,Resolved,18-10-2022 17:15,Configuration,Yes,19-10-2022 17:15,10,240,7,₹ 840,3,Cambridge,Europe & Eurasia,United Kingdom,INC000023517336
Incident,Incident,TEI-66,TEI Incident,Kalpana Devi Elumalai,Divya Kurian,17-10-2022 17:15,27-10-2022 17:15,High,Resolved,18-10-2022 17:15,Application,Yes,19-10-2022 17:15,10,240,4,₹ 480,2,Kochi,Asia Pacific,India,INC000023517387
Incident,Incident,TEI-67,TEI Incident,Mansi Dhawas Sanjay,Divya Kurian,17-10-2022 17:15,19-10-2022 17:15,Medium,Resolved,18-10-2022 17:15,Network,Yes,19-10-2022 17:15,2,48,12,"₹ 1,440",33,Delhi,Asia Pacific,India,INC000023517428
Incident,Incident,TEI-68,TEI Incident,Bharath PrathapBadugu,Divya Kurian,18-10-2022 17:15,20-10-2022 17:15,High,Resolved,18-10-2022 17:15,Database,Yes,19-10-2022 17:15,2,48,14,"₹ 1,680",41,Chennai,Asia Pacific,India,INC000023517429
Incident,Incident,TEI-69,TEI Incident,JOYDEEP MUKHERJEE,Divya Kurian,18-10-2022 17:15,20-10-2022 17:15,Low,Resolved,18-10-2022 17:15,Deployement,Yes,19-10-2022 17:15,2,48,23,"₹ 2,760",92,Cambridge,Europe & Eurasia,United Kingdom,INC000023517430
Incident,Incident,TEI-70,TEI Incident,N M RITHWIK SUBRAHMANNIAN,Divya Kurian,18-10-2022 17:15,20-10-2022 17:15,High,Resolved,18-10-2022 17:15,Software,Yes,18-10-2022 17:15,2,48,2,₹ 240,4,Chennai,Asia Pacific,India,INC000023517431
Incident,Incident,TEI-71,TEI Incident,ANLI XAVIER,Divya Kurian,18-10-2022 17:15,20-10-2022 17:15,Medium,Resolved,18-10-2022 17:15,Configuration,Yes,01-11-2022 17:15,2,48,22,"₹ 2,640",85,Chennai,Asia Pacific,India,INC000023517479
Incident,Incident,TEI-72,TEI Incident,Prosenjit Banerjee,Divya Kurian,18-10-2022 17:15,20-10-2022 17:15,Low,Resolved,18-10-2022 17:15,Hardware,Yes,01-11-2022 17:15,2,48,12,"₹ 1,440",33,Chennai,Asia Pacific,India,INC000023517480
Incident,Incident,TEI-73,TEI Incident,Alapan Chakraborty,Divya Kurian,18-10-2022 17:15,20-10-2022 17:15,Low,Resolved,18-10-2022 17:15,Configuration,Yes,01-11-2022 17:15,2,48,14,"₹ 1,680",41,Cambridge,Europe & Eurasia,United Kingdom,INC000023517551
Incident,Employee,JML-11,Joiner,Divya Kurian,DIVYA SUSAN KURIAN,18-10-2022 17:15,20-10-2022 17:15,Low,Done,19-10-2022 11:10,Configuration,Yes,21-10-2022 11:10,2,48,15,"₹ 1,800",45,Kochi,Asia Pacific,India,INC000023571052
Incident,Incident,TEI-74,TEI Incident,Sanjiban Bhattacharya,Divya Kurian,18-10-2022 17:15,20-10-2022 17:15,High,Resolved,19-10-2022 17:15,Application,Yes,02-11-2022 17:15,2,48,16,"₹ 1,920",50,Chennai,Asia Pacific,India,INC000023518017
Incident,Incident,TEI-75,TEI Incident,SOMISETTY SAINATH,Divya Kurian,18-10-2022 17:15,21-10-2022 17:15,High,Resolved,19-10-2022 17:15,Network,Yes,02-11-2022 17:15,3,72,17,"₹ 2,040",31,Chennai,Asia Pacific,India,INC000023518285
Incident,Incident,TEI-76,TEI Incident,RANJIT PARIDA,Divya Kurian,18-10-2022 17:15,21-10-2022 17:15,High,Resolved,19-10-2022 17:15,Database,Yes,21-10-2022 17:15,3,72,4,₹ 480,6,Chennai,Asia Pacific,India,INC000023518286
Incident,Incident,TEI-77,TEI Incident,SAMRA QIDWAI,Divya Kurian,18-10-2022 17:15,19-10-2022 17:15,High,Resolved,19-10-2022 17:15,Deployement,Yes,21-10-2022 17:15,1,24,2,₹ 240,9,Cambridge,Europe & Eurasia,United Kingdom,INC000023518881
Incident,Incident,TEI-78,TEI Incident,MOHD SHERIFF MEHMOOD,Divya Kurian,18-10-2022 17:15,19-10-2022 17:15,High,Resolved,19-10-2022 17:15,Software,Yes,21-10-2022 17:15,1,24,5,₹ 600,26,Chennai,Asia Pacific,India,INC000023519343
Incident,Incident,TEI-79,TEI Incident,SHAIK IFFATH FATHIMA,Divya Kurian,18-10-2022 17:15,19-10-2022 17:15,High,Resolved,19-10-2022 17:15,Configuration,Yes,21-10-2022 17:15,1,24,4,₹ 480,20,Delhi,Asia Pacific,India,INC000023519598
Incident,Incident,TEI-80,TEI Incident,PushpendraAwasthi,Divya Kurian,18-10-2022 17:15,19-10-2022 17:15,High,Resolved,19-10-2022 17:15,Configuration,Yes,21-10-2022 17:15,1,24,6,₹ 720,33,Pune,Asia Pacific,India,INC000023519704
Incident,Incident,TEI-81,TEI Incident,MaavuriSubash Chandra,Divya Kurian,18-10-2022 17:15,19-10-2022 17:15,High,Resolved,19-10-2022 17:15,Network,Yes,21-10-2022 17:15,1,24,8,₹ 960,50,London,Europe & Eurasia,United Kingdom,INC000023519713
Incident,Incident,TEI-82,TEI Incident,PranitSuhasSoury Deevi,Divya Kurian,18-10-2022 17:15,18-10-2022 17:15,High,Resolved,19-10-2022 17:15,Network,Yes,21-10-2022 17:15,0,0,8,₹ 960,-100,Pune,Asia Pacific,India,INC000023519966
Incident,Incident,TEI-83,TEI Incident,Dipanjana Roy,Divya Kurian,18-10-2022 17:15,01-11-2022 17:15,High,Resolved,19-10-2022 17:15,Network,Yes,21-10-2022 17:15,14,336,8,₹ 960,2,Pune,Asia Pacific,India,INC000023519972
Incident,Incident,TEI-84,TEI Incident,Debapratim Sarkar,Divya Kurian,18-10-2022 17:15,01-11-2022 17:15,High,Resolved,19-10-2022 17:15,Configuration,Yes,24-10-2022 17:15,14,336,8,₹ 960,2,Delhi,Asia Pacific,India,INC000023520000
Incident,Incident,TEI-85,TEI Incident,Moloy Bhowmik,Divya Kurian,18-10-2022 17:15,01-11-2022 17:15,High,Resolved,19-10-2022 17:15,Hardware,Yes,24-10-2022 17:15,14,336,8,₹ 960,2,London,Europe & Eurasia,United Kingdom,INC000023520220
Incident,Incident,TEI-86,TEI Incident,Kiran Kumari A,Divya Kurian,19-10-2022 11:10,21-10-2022 11:10,High,Resolved,19-10-2022 17:15,Configuration,Yes,24-10-2022 17:15,2,48,3,₹ 360,7,Kochi,Asia Pacific,India,INC000023520277
Incident,Incident,TEI-87,TEI Incident,Bhuvaneshwari V,Divya Kurian,19-10-2022 17:15,02-11-2022 17:15,High,Resolved,19-10-2022 17:15,Application,Yes,24-10-2022 17:15,14,336,8,₹ 960,2,Jaipur,Asia Pacific,India,INC000023520300
Incident,Incident,TEI-88,TEI Incident,Sudheendran E,Divya Kurian,19-10-2022 17:15,02-11-2022 17:15,High,Resolved,19-10-2022 17:15,Network,Yes,24-10-2022 17:15,14,336,8,₹ 960,2,London,Europe & Eurasia,United Kingdom,INC000023520406
